NTDID,Agency,Modes,TOS,Estimate,Month,Year
9171,Santa Clarita Transit,DR,PT,"8,410",September,2014
9171,Santa Clarita Transit,MB,PT,"209,476",September,2014
9175,City of Lodi - Transit Division,DR,PT,"2,610",September,2014
9175,City of Lodi - Transit Division,MB,PT,"21,797",September,2014
9193,Chula Vista Transit,MB,PT,"267,193",September,2014
9196,Placer County Department of Public Works,CB,PT,"3,913",August,2014
9196,Placer County Department of Public Works,CB,PT,"3,987",September,2014
9196,Placer County Department of Public Works,DR,PT,"1,961",August,2014
9196,Placer County Department of Public Works,DR,PT,"1,832",September,2014
9196,Placer County Department of Public Works,DT,PT,23,August,2014
9196,Placer County Department of Public Works,DT,PT,17,September,2014
9196,Placer County Department of Public Works,MB,DO,"46,781",August,2014
9196,Placer County Department of Public Works,MB,DO,"46,888",September,2014
9196,Placer County Department of Public Works,MB,PT,770,August,2014
9196,Placer County Department of Public Works,MB,PT,772,September,2014
9196,Placer County Department of Public Works,VP,PT,"2,200",August,2014
9196,Placer County Department of Public Works,VP,PT,"2,009",September,2014
9201,City of Turlock,DR,PT,758,September,2014
9201,City of Turlock,MB,PT,"8,966",September,2014
9205,City of Elk Grove,CB,PT,"44,350",September,2014
9205,City of Elk Grove,DR,PT,"1,627",September,2014
9205,City of Elk Grove,MB,PT,"36,434",September,2014
9208,Butte County Association of Governments,DR,PT,"12,226",September,2014
9208,Butte County Association of Governments,MB,PT,"104,461",September,2014
9211,Anaheim Transportation Network,MB,PT,"806,408",August,2014
9211,Anaheim Transportation Network,MB,PT,"808,246",September,2014
9224,"Paratransit, Inc. CTSA",DR,DO,"14,705",September,2014
9226,Imperial County Transportation Commission,DR,PT,"2,871",August,2014
9226,Imperial County Transportation Commission,DR,PT,"2,683",September,2014
9233,Yuma County Intergovernmental Public Transportation Authority,DR,PT,581,August,2014
9233,Yuma County Intergovernmental Public Transportation Authority,DR,PT,543,September,2014
9233,Yuma County Intergovernmental Public Transportation Authority,MB,PT,"24,441",August,2014
9233,Yuma County Intergovernmental Public Transportation Authority,MB,PT,"24,497",September,2014
9234,Marin County Transit District,DR,PT,"9,896",September,2014
9234,Marin County Transit District,MB,PT,"215,465",August,2014
9234,Marin County Transit District,MB,PT,"215,956",September,2014
9241,County of Maui - Dept. of Transportation,CB,PT,"15,460",July,2014
9241,County of Maui - Dept. of Transportation,CB,PT,"8,027",August,2014
9241,County of Maui - Dept. of Transportation,CB,PT,"8,178",September,2014
9241,County of Maui - Dept. of Transportation,DR,PT,"81,485",July,2014
9241,County of Maui - Dept. of Transportation,DR,PT,"78,118",August,2014
9241,County of Maui - Dept. of Transportation,DR,PT,"72,993",September,2014
9241,County of Maui - Dept. of Transportation,MB,PT,"173,713",July,2014
9241,County of Maui - Dept. of Transportation,MB,PT,"155,015",August,2014
9241,County of Maui - Dept. of Transportation,MB,PT,"155,368",September,2014
9242,Las Vegas Monorail Company,MG,PT,"262,944",August,2014
9242,Las Vegas Monorail Company,MG,PT,"28,726",September,2014
9244,City of Tulare,DR,PT,"1,575",September,2014
9244,City of Tulare,MB,PT,"39,443",September,2014
